AMC Name,Asset Class,Scheme Code,ISIN Div Payout/ ISIN Growth,ISIN Div Reinvestment,Scheme Name,Family Name,Family Key,Plan Type,Option Type,NAV,NAV Date,Source Section,Updated At
360 ONE,Open Ended Schemes(Hybrid Scheme - Balanced Hybrid Fund),152076,INF579M01AY9,,360 ONE Balanced Hybrid Fund- Direct Plan - Growth,360 ONE Balanced Hybrid Fund,360 one||360 one balanced hybrid fund,Direct,Growth,13.2167,08-Jun-2026,Open Ended Schemes(Hybrid Scheme - Balanced Hybrid Fund),2026-06-09 11:53:28.087411+00:00
360 ONE,Open Ended Schemes(Hybrid Scheme - Balanced Hybrid Fund),152073,INF579M01AZ6,INF579M01BA7,360 ONE Balanced Hybrid Fund - Direct Plan - IDCW,360 ONE Balanced Hybrid Fund,360 one||360 one balanced hybrid fund,Direct,IDCW/Dividend,13.2167,08-Jun-2026,Open Ended Schemes(Hybrid Scheme - Balanced Hybrid Fund),2026-06-09 11:53:28.087057+00:00
360 ONE,Open Ended Schemes(Hybrid Scheme - Balanced Hybrid Fund),152075,INF579M01AV5,,360 ONE Balanced Hybrid Fund - Regular Plan - Growth,360 ONE Balanced Hybrid Fund,360 one||360 one balanced hybrid fund,Regular,Growth,12.693,08-Jun-2026,Open Ended Schemes(Hybrid Scheme - Balanced Hybrid Fund),2026-06-09 11:53:28.087238+00:00
360 ONE,Open Ended Schemes(Hybrid Scheme - Balanced Hybrid Fund),152074,INF579M01AW3,INF579M01AX1,360 ONE Balanced Hyrbrid fund - Regular Plan - IDCW,360 ONE Balanced Hyrbrid fund,360 one||360 one balanced hyrbrid fund,Regular,IDCW/Dividend,12.693,08-Jun-2026,Open Ended Schemes(Hybrid Scheme - Balanced Hybrid Fund),2026-06-09 11:53:28.087593+00:00
360 ONE,Open Ended Schemes(Debt Scheme - Dynamic Bond),122715,INF579M01266,,360 ONE Dynamic Bond Fund Direct Plan Growth,360 ONE Dynamic Bond Fund,360 one||360 one dynamic bond fund,Direct,Growth,25.0161,08-Jun-2026,Open Ended Schemes(Debt Scheme - Dynamic Bond),2026-06-09 11:53:26.487234+00:00
360 ONE,Open Ended Schemes(Debt Scheme - Dynamic Bond),122711,INF579M01191,,360 ONE Dynamic Bond Fund Regular Plan Bonus,360 ONE Dynamic Bond Fund,360 one||360 one dynamic bond fund,Regular,Bonus,23.6562,08-Jun-2026,Open Ended Schemes(Debt Scheme - Dynamic Bond),2026-06-09 11:53:26.488222+00:00
360 ONE,Open Ended Schemes(Debt Scheme - Dynamic Bond),122612,INF579M01183,,360 ONE Dynamic Bond Fund - Regular Plan - Growth Option,360 ONE Dynamic Bond Fund,360 one||360 one dynamic bond fund,Regular,Growth,23.6563,08-Jun-2026,Open Ended Schemes(Debt Scheme - Dynamic Bond),2026-06-09 11:53:26.486910+00:00
360 ONE,Open Ended Schemes(Debt Scheme - Dynamic Bond),122720,INF579M01225,INF579M01258,360 ONE Dynamic Bond Fund Regular Plan Half Yearly Dividend,360 ONE Dynamic Bond Fund Half Yearly,360 one||360 one dynamic bond fund half yearly,Regular,IDCW/Dividend,22.8282,08-Jun-2026,Open Ended Schemes(Debt Scheme - Dynamic Bond),2026-06-09 11:53:26.488590+00:00
360 ONE,Open Ended Schemes(Debt Scheme - Dynamic Bond),122721,INF579M01282,INF579M01316,360 ONE Dynamic Bond Fund Direct Plan Monthly Dividend,360 ONE Dynamic Bond Fund Monthly,360 one||360 one dynamic bond fund monthly,Direct,IDCW/Dividend,14.0274,08-Jun-2026,Open Ended Schemes(Debt Scheme - Dynamic Bond),2026-06-09 11:53:26.487596+00:00
360 ONE,Open Ended Schemes(Debt Scheme - Dynamic Bond),122719,INF579M01209,INF579M01233,360 ONE Dynamic Bond Fund Regular Plan Monthly Dividend,360 ONE Dynamic Bond Fund Monthly,360 one||360 one dynamic bond fund monthly,Regular,IDCW/Dividend,12.9354,08-Jun-2026,Open Ended Schemes(Debt Scheme - Dynamic Bond),2026-06-09 11:53:26.488910+00:00
360 ONE,Open Ended Schemes(Debt Scheme - Dynamic Bond),122717,INF579M01290,INF579M01324,360 ONE Dynamic Bond Fund Direct Plan Quarterly Dividend,360 ONE Dynamic Bond Fund Quarterly,360 one||360 one dynamic bond fund quarterly,Direct,IDCW/Dividend,23.0806,08-Jun-2026,Open Ended Schemes(Debt Scheme - Dynamic Bond),2026-06-09 11:53:26.487918+00:00
360 ONE,Open Ended Schemes(Debt Scheme - Dynamic Bond),122712,INF579M01217,INF579M01241,360 ONE Dynamic Bond Fund Regular Plan Quarterly Dividend,360 ONE Dynamic Bond Fund Quarterly,360 one||360 one dynamic bond fund quarterly,Regular,IDCW/Dividend,22.8284,08-Jun-2026,Open Ended Schemes(Debt Scheme - Dynamic Bond),2026-06-09 11:53:26.489221+00:00
360 ONE,Open Ended Schemes(Equity Scheme - ELSS),151165,INF579M01AN2,,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,360 ONE ELSS Tax Saver Nifty 50 Index Fund,360 one||360 one elss tax saver nifty 50 index fund,Direct,Growth,13.0946,08-Jun-2026,Open Ended Schemes(Equity Scheme - ELSS),2026-06-09 11:53:27.372488+00:00
360 ONE,Open Ended Schemes(Equity Scheme - ELSS),151166,INF579M01AO0,,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - IDCW Payout,360 ONE ELSS Tax Saver Nifty 50 Index Fund,360 one||360 one elss tax saver nifty 50 index fund,Direct,IDCW/Dividend,13.0946,08-Jun-2026,Open Ended Schemes(Equity Scheme - ELSS),2026-06-09 11:53:27.372903+00:00
360 ONE,Open Ended Schemes(Equity Scheme - ELSS),151164,INF579M01AL6,,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Regular Plan - Growth,360 ONE ELSS Tax Saver Nifty 50 Index Fund,360 one||360 one elss tax saver nifty 50 index fund,Regular,Growth,12.9823,08-Jun-2026,Open Ended Schemes(Equity Scheme - ELSS),2026-06-09 11:53:27.373250+00:00
360 ONE,Open Ended Schemes(Equity Scheme - ELSS),151167,INF579M01AM4,,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Regular Plan - IDCW Payout,360 ONE ELSS Tax Saver Nifty 50 Index Fund,360 one||360 one elss tax saver nifty 50 index fund,Regular,IDCW/Dividend,12.9823,08-Jun-2026,Open Ended Schemes(Equity Scheme - ELSS),2026-06-09 11:53:27.373561+00:00
360 ONE,Open Ended Schemes(Equity Scheme - Flexi Cap Fund),151796,INF579M01AS1,,360 ONE FLEXICAP FUND-DIRECT PLAN- GROWTH,360 ONE FLEXICAP FUND,360 one||360 one flexicap fund,Direct,Growth,15.4479,08-Jun-2026,Open Ended Schemes(Equity Scheme - Flexi Cap Fund),2026-06-09 11:53:27.417878+00:00
